,Crash ID,Month,Year,Dayweek,Time,Crash Type,Number Fatalities,Speed Limit,National Road Type,Christmas Period,Easter Period,Day of week,Time of Day
5876,20155033,5,2015,Friday,7:43,Pedestrian,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
5894,20155091,5,2015,Saturday,15:45,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Day
5898,20155078,5,2015,Friday,3:30,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Night
5899,20155132,5,2015,Friday,14:15,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
5908,20155136,4,2015,Sunday,0:15,Pedestrian,1,50,LOCAL ROAD,No,No,Weekend,Night
5924,20155050,4,2015,Monday,18:55,Multiple,1,100,ARTERIAL ROAD,No,No,Weekday,Night
5931,20155085,4,2015,Sunday,15:00,Single,2,110,ARTERIAL ROAD,No,No,Weekend,Day
5936,20155069,4,2015,Saturday,12:43,Multiple,1,60,ARTERIAL ROAD,No,No,Weekend,Day
5940,20155013,4,2015,Friday,9:15,Single,1,90,ARTERIAL ROAD,No,No,Weekday,Day
5943,20155128,4,2015,Thursday,13:25,Multiple,1,60,LOCAL ROAD,No,No,Weekday,Day
5954,20155010,4,2015,Sunday,7:45,Single,2,80,LOCAL ROAD,No,No,Weekend,Day
5955,20155110,4,2015,Sunday,8:42,Single,2,60,ARTERIAL ROAD,No,No,Weekend,Day
5970,20155065,4,2015,Monday,23:30,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,Yes,Weekday,Night
5984,20155070,4,2015,Friday,9:30,Single,1,110,NATIONAL OR STATE HIGHWAY,No,Yes,Weekday,Day
5985,20155138,4,2015,Thursday,12:34,Single,1,60,,No,Yes,Weekday,Day
5995,20155073,3,2015,Monday,5:45,Multiple,1,70,ARTERIAL ROAD,No,No,Weekend,Night
5997,20155109,3,2015,Sunday,6:06,Multiple,1,90,LOCAL ROAD,No,No,Weekend,Day
5999,20155036,3,2015,Saturday,4:40,Multiple,2,100,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night
6000,20155039,3,2015,Saturday,8:48,Multiple,1,100,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Day
6001,20155007,3,2015,Saturday,8:45,Multiple,1,80,ARTERIAL ROAD,No,No,Weekend,Day
6009,20155088,3,2015,Wednesday,20:15,Single,1,60,ARTERIAL ROAD,No,No,Weekday,Night
6015,20155017,3,2015,Saturday,15:30,Single,2,110,ARTERIAL ROAD,No,No,Weekend,Day
6021,20155125,3,2015,Friday,10:45,Multiple,2,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
6034,20155057,3,2015,Saturday,22:00,Single,1,80,ARTERIAL ROAD,No,No,Weekend,Night
6039,20155134,3,2015,Friday,15:00,Multiple,1,80,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
6049,20155025,3,2015,Monday,5:45,Single,1,40,ARTERIAL ROAD,No,No,Weekend,Night
6050,20155126,3,2015,Monday,18:30,Pedestrian,1,-9,,No,No,Weekday,Night
6059,20155054,3,2015,Saturday,3:35,Single,1,110,LOCAL ROAD,No,No,Weekend,Night
6063,20155118,3,2015,Thursday,10:28,Multiple,1,80,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
6066,20155047,3,2015,Tuesday,8:35,Single,1,110,,No,No,Weekday,Day
6077,20155077,3,2015,Sunday,14:07,Multiple,1,60,,No,No,Weekend,Day
6078,20155124,3,2015,Sunday,9:00,Single,1,110,,No,No,Weekend,Day
6080,20155038,2,2015,Saturday,18:00,Single,1,110,,No,No,Weekend,Night
6083,20155087,2,2015,Friday,14:59,Multiple,1,80,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
6087,20155141,2,2015,Sunday,7:30,Single,1,110,,No,No,Weekend,Day
6098,20155095,2,2015,Thursday,4:05,Single,1,110,,No,No,Weekday,Night
6106,20155104,2,2015,Monday,5:17,Multiple,1,100,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night
6108,20155048,2,2015,Friday,21:20,Single,2,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night
6109,20155060,2,2015,Friday,2:30,Single,1,60,ARTERIAL ROAD,No,No,Weekday,Night
6114,20155123,2,2015,Tuesday,18:45,Multiple,1,60,ARTERIAL ROAD,No,No,Weekday,Night
6118,20155084,2,2015,Monday,11:50,Single,1,60,ARTERIAL ROAD,No,No,Weekday,Day
6124,20155105,2,2015,Sunday,8:30,Single,1,80,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Day
6128,20155014,2,2015,Saturday,11:19,Single,1,110,LOCAL ROAD,No,No,Weekend,Day
6141,20155075,2,2015,Monday,9:23,Single,1,50,LOCAL ROAD,No,No,Weekday,Day
6142,20155022,2,2015,Monday,8:00,Pedestrian,1,60,,No,No,Weekday,Day
6155,20155023,1,2015,Wednesday,17:41,Multiple,1,50,LOCAL ROAD,No,No,Weekday,Day
6158,20155055,1,2015,Tuesday,14:46,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
6165,20155049,1,2015,Monday,15:56,Single,1,90,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
6170,20155089,1,2015,Sunday,16:49,Multiple,1,110,ARTERIAL ROAD,No,No,Weekend,Day
6193,20155100,1,2015,Sunday,14:32,Multiple,1,70,LOCAL ROAD,No,No,Weekend,Day
6208,20155066,1,2015,Thursday,17:38,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
6213,20155098,1,2015,Tuesday,18:04,Multiple,1,100,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Night
6231,20155079,1,2015,Monday,16:00,Single,1,80,LOCAL ROAD,No,No,Weekday,Day
6233,20155115,1,2015,Sunday,22:20,Multiple,1,70,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night
6240,20155082,1,2015,Thursday,21:45,Single,1,110,NATIONAL OR STATE HIGHWAY,Yes,No,Weekday,Night
