,Crash ID,Month,Year,Dayweek,Time,Crash Type,Number Fatalities,Speed Limit,National Road Type,Christmas Period,Easter Period,Day of week,Time of Day,Count
685,20195026,12,2019,Tuesday,2:40,Multiple,1,110,Arterial Road,No,No,Weekday,Night,1
692,20195109,12,2019,Wednesday,5:07,Pedestrian,1,90,Arterial Road,Yes,No,Weekday,Night,1
693,20195055,12,2019,Sunday,10:40,Multiple,1,100,National or State Highway,No,No,Weekend,Day,1
694,20195098,12,2019,Sunday,13:30,Single,1,80,Local Road,No,No,Weekend,Day,1
715,20195115,12,2019,Saturday,12:48,Single,1,110,National or State Highway,No,No,Weekend,Day,1
716,20195083,12,2019,Saturday,13:50,Single,1,110,Arterial Road,No,No,Weekend,Day,1
717,20195099,12,2019,Sunday,15:00,Multiple,1,110,National or State Highway,No,No,Weekend,Day,1
726,20195120,12,2019,Sunday,3:45,Pedestrian,1,110,Arterial Road,No,No,Weekend,Night,1
727,20195037,12,2019,Saturday,12:48,Single,1,110,,No,No,Weekend,Day,1
728,20195070,12,2019,Friday,20:35,Single,1,110,National or State Highway,No,No,Weekend,Night,1
744,20195096,12,2019,Wednesday,14:50,Multiple,1,110,Arterial Road,No,No,Weekday,Day,1
757,20195033,12,2019,Thursday,0:05,Single,1,80,Local Road,Yes,No,Weekday,Night,1
758,20195046,12,2019,Friday,16:53,Multiple,2,100,National or State Highway,No,No,Weekday,Day,1
766,20195048,11,2019,Wednesday,19:07,Single,1,110,Arterial Road,No,No,Weekday,Night,1
776,20195011,11,2019,Thursday,17:32,Single,1,80,Local Road,No,No,Weekday,Day,1
777,20195093,11,2019,Thursday,19:31,Pedestrian,1,60,Arterial Road,No,No,Weekday,Night,1
778,20195097,11,2019,Wednesday,14:38,Single,1,70,Arterial Road,No,No,Weekday,Day,1
791,20195045,11,2019,Sunday,6:10,Single,1,110,Arterial Road,No,No,Weekend,Day,1
817,20195149,11,2019,Sunday,20:55,Pedestrian,1,50,Arterial Road,No,No,Weekend,Night,1
818,20195151,11,2019,Saturday,10:40,Single,1,110,Local Road,No,No,Weekend,Day,1
836,20195036,11,2019,Thursday,12:30,Single,1,50,Local Road,No,No,Weekday,Day,1
837,20195002,11,2019,Friday,5:22,Single,1,110,Arterial Road,No,No,Weekday,Night,1
855,20195141,10,2019,Friday,22:09,Single,2,50,Local Road,No,No,Weekend,Night,1
869,20195030,10,2019,Thursday,8:10,Single,1,110,National or State Highway,No,No,Weekday,Day,1
870,20195034,10,2019,Tuesday,17:29,Single,1,110,National or State Highway,No,No,Weekday,Day,1
878,20195101,10,2019,Thursday,11:33,Single,1,110,Arterial Road,No,No,Weekday,Day,1
896,20195016,10,2019,Tuesday,17:30,Multiple,2,80,Local Road,No,No,Weekday,Day,1
906,20195080,10,2019,Wednesday,16:00,Multiple,1,110,National or State Highway,No,No,Weekday,Day,1
920,20195126,10,2019,Thursday,18:35,Single,1,80,National or State Highway,No,No,Weekday,Night,1
944,20195062,9,2019,Wednesday,20:38,Multiple,1,60,Arterial Road,No,No,Weekday,Night,1
945,20195074,9,2019,Tuesday,18:25,Pedestrian,1,50,,No,No,Weekday,Night,1
956,20195110,9,2019,Tuesday,10:17,Single,1,60,Arterial Road,No,No,Weekday,Day,1
960,20195104,9,2019,Thursday,13:54,Single,1,100,Arterial Road,No,No,Weekday,Day,1
967,20195077,9,2019,Thursday,12:26,Multiple,1,110,National or State Highway,No,No,Weekday,Day,1
997,20195056,9,2019,Friday,12:03,Single,1,80,National or State Highway,No,No,Weekday,Day,1
998,20195116,9,2019,Monday,22:20,Multiple,1,110,National or State Highway,No,No,Weekday,Night,1
999,20195152,9,2019,Wednesday,10:45,Multiple,1,60,National or State Highway,No,No,Weekday,Day,1
1000,20195022,9,2019,Sunday,11:40,Multiple,1,60,Arterial Road,No,No,Weekend,Day,1
1001,20195075,9,2019,Sunday,13:51,Multiple,2,100,Arterial Road,No,No,Weekend,Day,1
1016,20195021,9,2019,Monday,11:45,Single,1,110,National or State Highway,No,No,Weekday,Day,1
1035,20195078,8,2019,Tuesday,15:10,Single,1,110,Local Road,No,No,Weekday,Day,1
1043,20195135,8,2019,Wednesday,19:31,Multiple,1,50,Local Road,No,No,Weekday,Night,1
1044,20195050,8,2019,Thursday,0:02,Single,1,60,Arterial Road,No,No,Weekday,Night,1
1048,20195038,8,2019,Sunday,16:50,Multiple,1,50,Local Road,No,No,Weekend,Day,1
1060,20195125,8,2019,Saturday,17:10,Single,2,110,,No,No,Weekend,Day,1
1061,20195129,8,2019,Thursday,3:57,Single,1,110,National or State Highway,No,No,Weekday,Night,1
1062,20195064,8,2019,Saturday,15:57,Single,1,110,National or State Highway,No,No,Weekend,Day,1
1063,20195084,8,2019,Monday,19:29,Single,1,110,Arterial Road,No,No,Weekday,Night,1
1075,20195057,8,2019,Friday,17:55,Single,1,80,Local Road,No,No,Weekday,Day,1
1086,20195102,8,2019,Wednesday,9:09,Multiple,1,60,Local Road,No,No,Weekday,Day,1
1087,20195028,8,2019,Saturday,17:44,Multiple,1,50,Local Road,No,No,Weekend,Day,1
1088,20195029,8,2019,Tuesday,18:20,Multiple,1,110,Arterial Road,No,No,Weekday,Night,1
1100,20195019,8,2019,Tuesday,19:20,Multiple,1,60,Arterial Road,No,No,Weekday,Night,1
1101,20195092,8,2019,Wednesday,14:32,Single,1,110,Arterial Road,No,No,Weekday,Day,1
1109,20195076,8,2019,Saturday,6:09,Single,1,60,Arterial Road,No,No,Weekend,Day,1
1120,20195142,7,2019,Monday,14:56,Single,1,80,Local Road,No,No,Weekday,Day,1
1133,20195136,7,2019,Tuesday,2:40,Multiple,1,60,Arterial Road,No,No,Weekday,Night,1
1141,20195130,7,2019,Tuesday,23:44,Single,1,110,National or State Highway,No,No,Weekday,Night,1
1142,20195013,7,2019,Wednesday,21:25,Single,1,50,Local Road,No,No,Weekday,Night,1
1152,20195063,7,2019,Thursday,17:07,Single,1,110,Local Road,No,No,Weekday,Day,1
1160,20195025,7,2019,Saturday,4:00,Single,1,100,National or State Highway,No,No,Weekend,Night,1
1161,20195044,7,2019,Tuesday,6:30,Multiple,1,110,National or State Highway,No,No,Weekday,Day,1
1162,20195065,7,2019,Tuesday,8:47,Single,1,110,Local Road,No,No,Weekday,Day,1
1175,20195094,7,2019,Friday,21:40,Single,1,90,Local Road,No,No,Weekend,Night,1
1182,20195123,7,2019,Sunday,4:45,Pedestrian,1,50,Local Road,No,No,Weekend,Night,1
1203,20195095,6,2019,Friday,6:44,Multiple,1,110,National or State Highway,No,No,Weekday,Day,1
1209,20195134,6,2019,Thursday,6:20,Single,1,110,Local Road,No,No,Weekday,Day,1
1210,20195035,6,2019,Saturday,14:40,Single,1,110,Arterial Road,No,No,Weekend,Day,1
1211,20195042,6,2019,Saturday,1:20,Multiple,1,110,Local Road,No,No,Weekend,Night,1
1212,20195047,6,2019,Monday,10:37,Single,1,20,Local Road,No,No,Weekday,Day,1
1213,20195089,6,2019,Wednesday,23:04,Single,1,110,National or State Highway,No,No,Weekday,Night,1
1222,20195015,6,2019,Sunday,12:55,Single,1,100,Local Road,No,No,Weekend,Day,1
1230,20195128,6,2019,Saturday,15:46,Pedestrian,1,60,Arterial Road,No,No,Weekend,Day,1
1231,20195006,6,2019,Monday,15:10,Multiple,1,110,National or State Highway,No,No,Weekday,Day,1
1232,20195009,6,2019,Saturday,1:11,Single,1,50,Local Road,No,No,Weekend,Night,1
1244,20195032,6,2019,Tuesday,21:23,Single,1,80,Local Road,No,No,Weekday,Night,1
1245,20195061,6,2019,Wednesday,22:15,Multiple,1,110,National or State Highway,No,No,Weekday,Night,1
1253,20195121,6,2019,Wednesday,0:30,Single,2,110,National or State Highway,No,No,Weekday,Night,1
1254,20195132,6,2019,Thursday,6:43,Multiple,1,70,Arterial Road,No,No,Weekday,Day,1
1255,20195087,6,2019,Saturday,5:03,Multiple,1,110,National or State Highway,No,No,Weekend,Night,1
1268,20195023,6,2019,Saturday,12:00,Multiple,1,70,Local Road,No,No,Weekend,Day,1
1291,20195001,5,2019,Saturday,6:49,Single,1,110,National or State Highway,No,No,Weekend,Day,1
1310,20195004,5,2019,Saturday,21:14,Multiple,1,110,National or State Highway,No,No,Weekend,Night,1
1311,20195008,5,2019,Thursday,0:29,Pedestrian,2,-9,National or State Highway,No,No,Weekday,Night,1
1323,20195068,5,2019,Thursday,17:55,Pedestrian,1,110,National or State Highway,No,No,Weekday,Day,1
1331,20195138,5,2019,Thursday,21:17,Single,1,60,Local Road,No,No,Weekday,Night,1
1333,20195114,5,2019,Wednesday,6:00,Single,1,-9,Access road,No,No,Weekday,Day,1
1345,20195140,5,2019,Thursday,16:01,Single,1,110,National or State Highway,No,No,Weekday,Day,1
1346,20195014,5,2019,Wednesday,12:17,Single,1,20,,No,No,Weekday,Day,1
1347,20195020,5,2019,Friday,13:20,Single,1,70,Arterial Road,No,No,Weekday,Day,1
1348,20195067,5,2019,Friday,18:49,Single,1,60,Local Road,No,No,Weekend,Night,1
1358,20195119,5,2019,Saturday,11:35,Single,1,60,Arterial Road,No,No,Weekend,Day,1
1363,20195040,5,2019,Saturday,11:00,Single,1,110,Arterial Road,No,No,Weekend,Day,1
1372,20195058,5,2019,Wednesday,16:16,Multiple,1,60,Local Road,No,No,Weekday,Day,1
1381,20195150,4,2019,Saturday,11:45,Single,1,110,,No,No,Weekend,Day,1
1382,20195052,4,2019,Sunday,0:05,Multiple,1,60,National or State Highway,No,No,Weekend,Night,1
1383,20195085,4,2019,Wednesday,3:02,Single,1,110,Arterial Road,No,No,Weekday,Night,1
1393,20195144,4,2019,Saturday,10:41,Single,1,110,Local Road,No,Yes,Weekend,Day,1
1394,20195017,4,2019,Wednesday,15:53,Single,1,50,National or State Highway,No,No,Weekday,Day,1
1417,20195118,4,2019,Sunday,4:32,Pedestrian,1,100,National or State Highway,No,No,Weekend,Night,1
1418,20195005,4,2019,Saturday,11:35,Multiple,1,110,Local Road,No,No,Weekend,Day,1
1427,20195131,4,2019,Sunday,20:13,Single,1,110,National or State Highway,No,No,Weekend,Night,1
1428,20195031,4,2019,Friday,20:45,Single,1,60,National or State Highway,No,Yes,Weekend,Night,1
1429,20195054,4,2019,Monday,13:10,Multiple,1,-9,National or State Highway,No,No,Weekday,Day,1
1454,20195113,4,2019,Sunday,1:18,Single,1,100,National or State Highway,No,No,Weekend,Night,1
1455,20195012,4,2019,Friday,15:41,Single,1,110,Local Road,No,No,Weekday,Day,1
1456,20195041,4,2019,Sunday,16:16,Multiple,1,50,Local Road,No,No,Weekend,Day,1
1457,20195073,4,2019,Friday,16:20,Single,1,110,Local Road,No,No,Weekday,Day,1
1464,20195043,4,2019,Monday,0:55,Single,1,80,National or State Highway,No,No,Weekend,Night,1
1473,20195117,3,2019,Saturday,20:30,Multiple,1,60,Arterial Road,No,No,Weekend,Night,1
1474,20195122,3,2019,Thursday,10:38,Multiple,1,60,Arterial Road,No,No,Weekday,Day,1
1501,20195112,3,2019,Sunday,14:57,Multiple,1,110,National or State Highway,No,No,Weekend,Day,1
1511,20195086,3,2019,Tuesday,22:10,Single,1,90,Arterial Road,No,No,Weekday,Night,1
1537,20195127,3,2019,Sunday,1:40,Single,1,60,Arterial Road,No,No,Weekend,Night,1
1538,20195139,3,2019,Friday,17:21,Single,1,110,Arterial Road,No,No,Weekday,Day,1
1546,20195100,3,2019,Sunday,13:11,Single,1,110,,No,No,Weekend,Day,1
1547,20195124,3,2019,Tuesday,15:20,Single,1,60,,No,No,Weekday,Day,1
1548,20195024,3,2019,Sunday,17:58,Multiple,1,80,Local Road,No,No,Weekend,Day,1
1549,20195066,3,2019,Thursday,18:33,Single,1,110,Arterial Road,No,No,Weekday,Night,1
1565,20195111,3,2019,Friday,3:23,Single,1,110,National or State Highway,No,No,Weekday,Night,1
1566,20195088,3,2019,Sunday,17:15,Multiple,1,90,Local Road,No,No,Weekend,Day,1
1594,20195103,2,2019,Wednesday,21:51,Pedestrian,1,70,National or State Highway,No,No,Weekday,Night,1
1605,20195133,2,2019,Saturday,15:15,Single,1,90,Local Road,No,No,Weekend,Day,1
1606,20195010,2,2019,Friday,10:42,Single,1,110,Local Road,No,No,Weekday,Day,1
1607,20195018,2,2019,Wednesday,15:39,Single,1,110,Local Road,No,No,Weekday,Day,1
1619,20195051,2,2019,Friday,2:52,Single,1,110,National or State Highway,No,No,Weekday,Night,1
1620,20195053,2,2019,Thursday,22:49,Single,1,90,Local Road,No,No,Weekday,Night,1
1621,20195072,2,2019,Thursday,0:25,Multiple,1,80,National or State Highway,No,No,Weekday,Night,1
1627,20195090,2,2019,Friday,10:30,Single,1,80,Arterial Road,No,No,Weekday,Day,1
1637,20195108,2,2019,Thursday,11:27,Single,1,110,National or State Highway,No,No,Weekday,Day,1
1638,20195143,2,2019,Tuesday,13:04,Pedestrian,1,50,Local Road,No,No,Weekday,Day,1
1639,20195146,2,2019,Tuesday,11:20,Single,1,110,Arterial Road,No,No,Weekday,Day,1
1640,20195049,2,2019,Saturday,1:50,Single,1,100,Local Road,No,No,Weekend,Night,1
1652,20195059,2,2019,Thursday,10:43,Pedestrian,1,60,Arterial Road,No,No,Weekday,Day,1
1654,20195027,1,2019,Tuesday,22:30,Pedestrian,1,50,,No,No,Weekday,Night,1
1664,20195145,1,2019,Friday,2:00,Single,1,110,Arterial Road,No,No,Weekday,Night,1
1665,20195147,1,2019,Tuesday,21:15,Pedestrian,1,60,Local Road,No,No,Weekday,Night,1
1666,20195007,1,2019,Sunday,19:48,Multiple,1,110,Arterial Road,No,No,Weekend,Night,1
1674,20195137,1,2019,Monday,19:15,Single,1,40,Local Road,No,No,Weekday,Night,1
1675,20195069,1,2019,Sunday,18:52,Single,1,50,,No,No,Weekend,Night,1
1687,20195003,1,2019,Tuesday,15:48,Single,1,110,Local Road,No,No,Weekday,Day,1
1707,20195106,1,2019,Saturday,18:30,Single,1,60,Arterial Road,No,No,Weekend,Night,1
1708,20195153,1,2019,Friday,8:00,Multiple,1,90,National or State Highway,No,No,Weekday,Day,1
1709,20195039,1,2019,Tuesday,10:29,Single,1,80,Arterial Road,No,No,Weekday,Day,1
1722,20195082,1,2019,Monday,20:30,Single,1,110,,No,No,Weekday,Night,1
1733,20195105,1,2019,Friday,13:15,Multiple,1,110,National or State Highway,No,No,Weekday,Day,1
1734,20195107,1,2019,Wednesday,5:45,Single,1,110,Arterial Road,No,No,Weekday,Night,1
1735,20195154,1,2019,Saturday,7:26,Single,2,50,Arterial Road,No,No,Weekend,Day,1
1736,20195091,1,2019,Monday,9:47,Single,1,110,National or State Highway,No,No,Weekday,Day,1
1742,20195148,1,2019,Friday,16:27,Multiple,2,100,National or State Highway,No,No,Weekday,Day,1
1743,20195060,1,2019,Saturday,3:40,Single,1,90,Arterial Road,No,No,Weekend,Night,1
1744,20195079,1,2019,Thursday,9:03,Pedestrian,1,50,National or State Highway,No,No,Weekday,Day,1
1761,20195071,1,2019,Friday,12:29,Multiple,1,100,Arterial Road,No,No,Weekday,Day,1
1762,20195081,1,2019,Monday,11:11,Single,1,90,Local Road,No,No,Weekday,Day,1
1781,20185035,12,2018,Thursday,2:40,Pedestrian,1,50,,Yes,No,Weekday,Night,1
1782,20185097,12,2018,Thursday,12:00,Multiple,1,110,National or State Highway,Yes,No,Weekday,Day,1
1787,20185036,12,2018,Wednesday,12:31,Pedestrian,1,50,Local Road,Yes,No,Weekday,Day,1
1795,20185134,12,2018,Saturday,20:01,Pedestrian,1,50,Local Road,No,No,Weekend,Night,1
1796,20185114,12,2018,Saturday,9:02,Multiple,1,110,National or State Highway,No,No,Weekend,Day,1
1802,20185100,12,2018,Friday,21:40,Single,1,110,National or State Highway,No,No,Weekend,Night,1
1812,20185132,12,2018,Tuesday,12:30,Single,1,110,Local Road,No,No,Weekday,Day,1
1823,20185138,12,2018,Thursday,6:20,Single,1,110,National or State Highway,No,No,Weekday,Day,1
1832,20185139,12,2018,Sunday,15:18,Multiple,3,110,Arterial Road,No,No,Weekend,Day,1
1833,20185076,12,2018,Sunday,17:20,Single,1,90,National or State Highway,No,No,Weekend,Day,1
1845,20185085,12,2018,Tuesday,23:05,Single,1,80,National or State Highway,No,No,Weekday,Night,1
1859,20185041,11,2018,Thursday,6:32,Single,1,110,Local Road,No,No,Weekday,Day,1
1863,20185001,11,2018,Wednesday,6:00,Single,1,110,Local Road,No,No,Weekday,Day,1
1870,20185016,11,2018,Monday,2:04,Single,1,90,National or State Highway,No,No,Weekend,Night,1
1873,20185049,11,2018,Sunday,11:01,Multiple,1,110,National or State Highway,No,No,Weekend,Day,1
1874,20185007,11,2018,Sunday,6:32,Single,2,110,National or State Highway,No,No,Weekend,Day,1
1879,20185008,11,2018,Saturday,5:00,Single,1,110,Local Road,No,No,Weekend,Night,1
1881,20185067,11,2018,Friday,15:45,Single,1,110,Arterial Road,No,No,Weekday,Day,1
1915,20185104,11,2018,Sunday,0:08,Multiple,1,100,National or State Highway,No,No,Weekend,Night,1
1920,20185048,11,2018,Saturday,15:14,Multiple,1,110,Arterial Road,No,No,Weekend,Day,1
1922,20185044,11,2018,Thursday,16:00,Multiple,1,110,National or State Highway,No,No,Weekday,Day,1
1925,20185111,11,2018,Tuesday,8:37,Multiple,1,80,National or State Highway,No,No,Weekday,Day,1
1932,20185052,11,2018,Sunday,10:53,Multiple,1,60,Arterial Road,No,No,Weekend,Day,1
1939,20185005,11,2018,Saturday,8:30,Single,1,70,Local Road,No,No,Weekend,Day,1
1944,20185032,11,2018,Thursday,13:55,Single,1,110,National or State Highway,No,No,Weekday,Day,1
1947,20185091,10,2018,Wednesday,10:49,Multiple,1,50,Local Road,No,No,Weekday,Day,1
1957,20185094,10,2018,Saturday,22:40,Single,1,110,National or State Highway,No,No,Weekend,Night,1
1958,20185106,10,2018,Saturday,10:35,Single,1,70,Arterial Road,No,No,Weekend,Day,1
1964,20185029,10,2018,Wednesday,11:40,Single,1,110,Local Road,No,No,Weekday,Day,1
1984,20185031,10,2018,Saturday,4:20,Single,1,110,Arterial Road,No,No,Weekend,Night,1
1985,20185095,10,2018,Saturday,19:30,Single,1,50,Local Road,No,No,Weekend,Night,1
1994,20185004,10,2018,Tuesday,23:00,Single,1,110,Local Road,No,No,Weekday,Night,1
2008,20185092,10,2018,Thursday,15:30,Single,1,110,National or State Highway,No,No,Weekday,Day,1
2019,20185043,9,2018,Saturday,21:16,Pedestrian,1,90,National or State Highway,No,No,Weekend,Night,1
2025,20185079,9,2018,Friday,5:45,Single,1,50,Local Road,No,No,Weekday,Night,1
2035,20185103,9,2018,Sunday,20:22,Multiple,1,110,National or State Highway,No,No,Weekend,Night,1
2041,20185070,9,2018,Saturday,3:00,Single,1,110,National or State Highway,No,No,Weekend,Night,1
2042,20185034,9,2018,Saturday,12:13,Single,1,110,National or State Highway,No,No,Weekend,Day,1
2061,20185028,9,2018,Sunday,10:20,Multiple,1,110,National or State Highway,No,No,Weekend,Day,1
2071,20185050,9,2018,Friday,21:15,Single,1,110,Arterial Road,No,No,Weekend,Night,1
2084,20185056,9,2018,Saturday,16:00,Single,1,60,,No,No,Weekend,Day,1
2091,20185046,9,2018,Thursday,23:15,Single,1,110,National or State Highway,No,No,Weekday,Night,1
2092,20185078,9,2018,Wednesday,15:27,Single,1,80,Arterial Road,No,No,Weekday,Day,1
2095,20185021,9,2018,Tuesday,14:15,Single,2,110,Local Road,No,No,Weekday,Day,1
2099,20185062,9,2018,Monday,16:34,Multiple,1,90,National or State Highway,No,No,Weekday,Day,1
2100,20185140,9,2018,Monday,7:02,Single,1,110,National or State Highway,No,No,Weekday,Day,1
2105,20185098,9,2018,Sunday,19:48,Multiple,1,110,National or State Highway,No,No,Weekend,Night,1
2136,20185020,8,2018,Friday,2:59,Single,1,70,National or State Highway,No,No,Weekday,Night,1
2155,20185126,8,2018,Sunday,23:40,Multiple,2,110,National or State Highway,No,No,Weekend,Night,1
2156,20185051,8,2018,Sunday,12:33,Single,1,110,Arterial Road,No,No,Weekend,Day,1
2172,20185003,8,2018,Monday,13:50,Multiple,1,70,Arterial Road,No,No,Weekday,Day,1
2177,20185127,8,2018,Saturday,1:30,Pedestrian,1,70,Local Road,No,No,Weekend,Night,1
2178,20185027,8,2018,Saturday,3:46,Single,1,-9,,No,No,Weekend,Night,1
2179,20185083,8,2018,Saturday,12:15,Single,1,110,,No,No,Weekend,Day,1
2183,20185093,8,2018,Wednesday,5:56,Single,1,100,Arterial Road,No,No,Weekday,Night,1
2199,20185010,8,2018,Saturday,0:10,Single,1,60,,No,No,Weekend,Night,1
2200,20185145,8,2018,Saturday,7:45,Single,1,100,National or State Highway,No,No,Weekend,Day,1
2201,20185119,8,2018,Friday,23:39,Single,2,90,Arterial Road,No,No,Weekend,Night,1
2204,20185022,8,2018,Thursday,14:50,Multiple,2,110,National or State Highway,No,No,Weekday,Day,1
2209,20185011,7,2018,Tuesday,18:23,Pedestrian,1,50,Arterial Road,No,No,Weekday,Night,1
2212,20185024,7,2018,Monday,18:10,Single,1,110,National or State Highway,No,No,Weekday,Night,1
2213,20185142,7,2018,Monday,12:35,Single,1,70,Arterial Road,No,No,Weekday,Day,1
2223,20185006,7,2018,Wednesday,14:56,Single,1,80,Local Road,No,No,Weekday,Day,1
2229,20185025,7,2018,Sunday,4:38,Single,1,90,Local Road,No,No,Weekend,Night,1
2248,20185038,7,2018,Tuesday,4:00,Single,1,110,Local Road,No,No,Weekday,Night,1
2262,20185116,7,2018,Thursday,2:40,Multiple,1,60,Arterial Road,No,No,Weekday,Night,1
2263,20185058,7,2018,Thursday,8:43,Multiple,1,60,National or State Highway,No,No,Weekday,Day,1
2266,20185033,7,2018,Tuesday,10:00,Multiple,1,90,,No,No,Weekday,Day,1
2273,20185115,7,2018,Saturday,9:13,Multiple,1,70,Local Road,No,No,Weekend,Day,1
2285,20185087,7,2018,Wednesday,6:30,Single,1,110,,No,No,Weekday,Day,1
2295,20185112,6,2018,Saturday,1:20,Single,1,60,,No,No,Weekend,Night,1
2296,20185118,6,2018,Friday,12:42,Single,1,100,National or State Highway,No,No,Weekday,Day,1
2314,20185018,6,2018,Saturday,3:15,Single,1,110,Arterial Road,No,No,Weekend,Night,1
2323,20185065,6,2018,Sunday,10:22,Single,1,110,Local Road,No,No,Weekend,Day,1
2336,20185131,6,2018,Wednesday,6:00,Pedestrian,1,60,Arterial Road,No,No,Weekday,Day,1
2337,20185128,6,2018,Wednesday,11:26,Multiple,1,60,Arterial Road,No,No,Weekday,Day,1
2342,20185045,6,2018,Monday,10:30,Single,1,110,Arterial Road,No,No,Weekday,Day,1
2348,20185054,6,2018,Sunday,1:24,Single,1,60,Arterial Road,No,No,Weekend,Night,1
2350,20185075,6,2018,Saturday,1:35,Single,1,70,Arterial Road,No,No,Weekend,Night,1
2366,20185014,6,2018,Sunday,11:37,Multiple,1,110,National or State Highway,No,No,Weekend,Day,1
2369,20185013,5,2018,Thursday,16:40,Pedestrian,1,50,,No,No,Weekday,Day,1
2380,20185012,5,2018,Sunday,10:56,Pedestrian,1,50,Local Road,No,No,Weekend,Day,1
2388,20185125,5,2018,Friday,9:40,Single,1,110,Local Road,No,No,Weekday,Day,1
2409,20185080,5,2018,Wednesday,20:29,Single,1,60,,No,No,Weekday,Night,1
2425,20185109,5,2018,Wednesday,15:11,Single,1,110,Local Road,No,No,Weekday,Day,1
2427,20185086,5,2018,Tuesday,8:45,Multiple,1,50,Local Road,No,No,Weekday,Day,1
2434,20185129,5,2018,Sunday,15:12,Multiple,1,50,,No,No,Weekend,Day,1
2435,20185144,5,2018,Sunday,8:15,Single,1,110,National or State Highway,No,No,Weekend,Day,1
2442,20185074,5,2018,Saturday,2:50,Single,1,110,National or State Highway,No,No,Weekend,Night,1
2447,20185120,5,2018,Thursday,15:24,Multiple,1,70,Local Road,No,No,Weekday,Day,1
2453,20185123,5,2018,Tuesday,20:54,Single,1,100,Local Road,No,No,Weekday,Night,1
2454,20185135,5,2018,Tuesday,21:00,Single,1,60,Arterial Road,No,No,Weekday,Night,1
2459,20185047,4,2018,Sunday,11:28,Single,1,110,Arterial Road,No,No,Weekend,Day,1
2461,20185066,4,2018,Saturday,5:44,Single,2,110,Arterial Road,No,No,Weekend,Night,1
2465,20185026,4,2018,Friday,19:47,Single,1,110,Arterial Road,No,No,Weekend,Night,1
2468,20185023,4,2018,Wednesday,0:10,Single,1,50,Arterial Road,No,No,Weekday,Night,1
2469,20185073,4,2018,Wednesday,15:30,Multiple,1,60,Arterial Road,No,No,Weekday,Day,1
2481,20185117,4,2018,Sunday,10:30,Multiple,1,110,National or State Highway,No,No,Weekend,Day,1
2487,20185141,4,2018,Friday,23:49,Single,1,100,National or State Highway,No,No,Weekend,Night,1
2488,20185102,4,2018,Friday,16:21,Multiple,1,60,Arterial Road,No,No,Weekday,Day,1
2491,20185040,4,2018,Thursday,17:20,Multiple,1,80,National or State Highway,No,No,Weekday,Day,1
2495,20185039,4,2018,Wednesday,11:28,Multiple,2,110,National or State Highway,No,No,Weekday,Day,1
2500,20185064,4,2018,Monday,11:00,Single,1,110,National or State Highway,No,No,Weekday,Day,1
2509,20185082,4,2018,Friday,18:06,Multiple,1,100,National or State Highway,No,No,Weekend,Night,1
2510,20185042,4,2018,Thursday,13:23,Single,1,110,National or State Highway,No,No,Weekday,Day,1
2512,20185077,4,2018,Wednesday,16:07,Multiple,1,70,Local Road,No,No,Weekday,Day,1
2516,20185019,4,2018,Tuesday,18:37,Multiple,1,70,National or State Highway,No,No,Weekday,Night,1
2520,20185017,4,2018,Sunday,22:15,Single,1,-9,Local Road,No,No,Weekend,Night,1
2531,20185063,4,2018,Monday,12:00,Multiple,1,110,National or State Highway,No,Yes,Weekday,Day,1
2535,20185136,4,2018,Sunday,11:33,Multiple,1,50,Arterial Road,No,Yes,Weekend,Day,1
2547,20185099,3,2018,Wednesday,12:45,Single,1,110,Local Road,No,No,Weekday,Day,1
2562,20185069,3,2018,Saturday,4:56,Single,1,100,National or State Highway,No,No,Weekend,Night,1
2563,20185110,3,2018,Saturday,17:25,Pedestrian,1,50,Arterial Road,No,No,Weekend,Day,1
2570,20185059,3,2018,Friday,6:23,Pedestrian,1,60,National or State Highway,No,No,Weekday,Day,1
2574,20185072,3,2018,Thursday,15:34,Multiple,1,70,National or State Highway,No,No,Weekday,Day,1
2580,20185105,3,2018,Monday,12:02,Pedestrian,1,60,Arterial Road,No,No,Weekday,Day,1
2583,20185137,3,2018,Sunday,3:30,Single,1,50,Arterial Road,No,No,Weekend,Night,1
2584,20185060,3,2018,Sunday,22:47,Single,1,80,Local Road,No,No,Weekend,Night,1
2596,20185143,3,2018,Wednesday,15:40,Multiple,2,110,National or State Highway,No,No,Weekday,Day,1
2605,20185088,3,2018,Saturday,14:00,Multiple,1,90,Arterial Road,No,No,Weekend,Day,1
2614,20185030,3,2018,Friday,13:05,Single,1,80,Local Road,No,No,Weekday,Day,1
2632,20185071,3,2018,Saturday,21:12,Multiple,1,70,,No,No,Weekend,Night,1
2638,20185107,3,2018,Friday,22:15,Single,1,80,Local Road,No,No,Weekend,Night,1
2639,20185061,3,2018,Friday,18:50,Multiple,1,50,Arterial Road,No,No,Weekend,Night,1
2644,20185089,2,2018,Tuesday,16:30,Single,1,70,Local Road,No,No,Weekday,Day,1
2650,20185055,2,2018,Sunday,12:20,Single,1,60,,No,No,Weekend,Day,1
2660,20185057,2,2018,Friday,21:28,Single,1,50,Local Road,No,No,Weekend,Night,1
2666,20185009,2,2018,Wednesday,15:37,Single,1,110,Local Road,No,No,Weekday,Day,1
2669,20185084,2,2018,Tuesday,6:46,Single,1,70,Arterial Road,No,No,Weekday,Day,1
2692,20185002,2,2018,Sunday,3:35,Pedestrian,1,70,Arterial Road,No,No,Weekend,Night,1
